n_cities,best_seed,best_distance,best_tour
5,1,227.34551868492375,"2,1,4,0,3"
10,1,290.3067737918128,"3,5,0,4,1,6,9,7,2,8"
15,16,320.5256656805111,"13,3,5,0,12,4,1,6,10,14,9,2,7,11,8"
20,6,386.42968948347,"16,5,3,13,8,11,7,2,18,9,15,10,14,6,19,1,17,4,12,0"
25,5,410.03220165541086,"4,12,0,16,5,21,3,22,8,23,13,20,11,2,7,18,9,24,15,10,14,6,19,1,17"
30,12,451.7670007848986,"29,20,13,8,23,22,3,21,5,16,0,12,4,27,26,17,25,1,19,6,14,10,15,24,9,11,18,7,2,28"
35,7,464.16828416803753,"30,9,24,15,10,14,6,31,19,1,25,17,26,27,4,12,0,16,34,5,21,3,33,22,32,8,23,11,13,20,29,28,2,7,18"
40,6,496.797593591006,"20,13,32,8,23,22,33,36,3,21,16,34,5,0,12,27,26,17,25,37,4,1,19,31,6,35,38,14,10,15,24,9,30,11,39,18,7,2,28,29"
45,2,533.528289825434,"11,42,30,9,24,15,10,14,38,35,6,31,44,40,25,17,26,37,43,1,19,4,12,27,0,5,34,16,21,3,36,33,22,23,8,32,13,20,29,28,2,7,18,41,39"
50,17,564.6260745360245,"12,4,37,43,1,46,47,19,48,9,30,42,11,23,8,32,13,20,29,28,49,2,7,18,41,39,24,15,10,14,38,35,6,31,44,40,25,17,26,27,0,5,34,16,21,3,36,33,45,22"
