num_cities,n_ants,alpha,beta,evaporation_rate,q,max_iterations,best_distance
5,10,1.0,3.0,0.3,50,100,227.34551868492372
10,10,1.0,3.0,0.3,50,100,290.3067737918128
15,31,1.2143741965445232,2.009159681854616,0.306472427234565,139,175,320.5256656805111
20,44,2.300357582780345,3.386515508707829,0.7717854752786689,141,123,386.42968948346993
25,30,1.0,5.0,0.3,100,100,407.30756727527273
30,10,2.0,3.0,0.5,100,100,451.7670007848985
35,20,1.0,3.0,0.7,100,150,462.6593652307618
40,19,1.9549236236154304,2.456794397568083,0.2669519352607503,119,120,496.3950996232156
45,10,1.0,3.0,0.7,50,150,533.568579793279
50,30,1.0,4.0,0.3,50,100,561.3364758658307
