n_cities,best_seed,best_distance,best_route
5,1,227.34551868492375,City_3 -> City_2 -> City_5 -> City_1 -> City_4
10,1,290.3067737918128,City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_10 -> City_8 -> City_3 -> City_9
15,16,320.5256656805111,City_14 -> City_4 -> City_6 -> City_1 -> City_13 -> City_5 -> City_2 -> City_7 -> City_11 -> City_15 -> City_10 -> City_3 -> City_8 -> City_12 -> City_9
20,6,386.42968948347,City_17 -> City_6 -> City_4 -> City_14 -> City_9 -> City_12 -> City_8 -> City_3 -> City_19 -> City_10 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_18 -> City_5 -> City_13 -> City_1
25,5,410.03220165541086,City_5 -> City_13 -> City_1 -> City_17 -> City_6 -> City_22 -> City_4 -> City_23 -> City_9 -> City_24 -> City_14 -> City_21 -> City_12 -> City_3 -> City_8 -> City_19 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_18
30,12,451.7670007848986,City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_23 -> City_4 -> City_22 -> City_6 -> City_17 -> City_1 -> City_13 -> City_5 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_19 -> City_8 -> City_3 -> City_29
35,7,464.16828416803753,City_31 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_32 -> City_20 -> City_2 -> City_26 -> City_18 -> City_27 -> City_28 -> City_5 -> City_13 -> City_1 -> City_17 -> City_35 -> City_6 -> City_22 -> City_4 -> City_34 -> City_23 -> City_33 -> City_9 -> City_24 -> City_12 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19
40,6,496.797593591006,City_21 -> City_14 -> City_33 -> City_9 -> City_24 -> City_23 -> City_34 -> City_37 -> City_4 -> City_22 -> City_17 -> City_35 -> City_6 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26 -> City_38 -> City_5 -> City_2 -> City_20 -> City_32 -> City_7 -> City_36 -> City_39 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_31 -> City_12 -> City_40 -> City_19 -> City_8 -> City_3 -> City_29 -> City_30
45,2,533.528289825434,City_12 -> City_43 -> City_31 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_39 -> City_36 -> City_7 -> City_32 -> City_45 -> City_41 -> City_26 -> City_18 -> City_27 -> City_38 -> City_44 -> City_2 -> City_20 -> City_5 -> City_13 -> City_28 -> City_1 -> City_6 -> City_35 -> City_17 -> City_22 -> City_4 -> City_37 -> City_34 -> City_23 -> City_24 -> City_9 -> City_33 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_42 -> City_40
50,17,564.6260745360245,City_13 -> City_5 -> City_38 -> City_44 -> City_2 -> City_47 -> City_48 -> City_20 -> City_49 -> City_10 -> City_31 -> City_43 -> City_12 -> City_24 -> City_9 -> City_33 -> City_14 -> City_21 -> City_30 -> City_29 -> City_50 -> City_3 -> City_8 -> City_19 -> City_42 -> City_40 -> City_25 -> City_16 -> City_11 -> City_15 -> City_39 -> City_36 -> City_7 -> City_32 -> City_45 -> City_41 -> City_26 -> City_18 -> City_27 -> City_28 -> City_1 -> City_6 -> City_35 -> City_17 -> City_22 -> City_4 -> City_37 -> City_34 -> City_46 -> City_23
