iteration,current_distance,best_distance,route
5,507.02369332370233,476.9273636410419,City_9 -> City_24 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_12 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_5 -> City_13 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26 -> City_4 -> City_22 -> City_6 -> City_17 -> City_23
10,505.415385806702,476.9273636410419,City_20 -> City_2 -> City_5 -> City_13 -> City_28 -> City_1 -> City_6 -> City_17 -> City_22 -> City_4 -> City_23 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_10 -> City_12 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_26 -> City_18 -> City_27
15,505.08899322494415,455.0565994550923,City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_12 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_5 -> City_13 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26 -> City_6 -> City_17 -> City_22 -> City_4 -> City_23
20,522.6789801823055,455.0565994550923,City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_5 -> City_13 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7
25,502.57130303455375,455.0565994550923,City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_9 -> City_24 -> City_23 -> City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_26 -> City_18 -> City_27 -> City_28 -> City_1 -> City_4 -> City_22 -> City_17 -> City_6
30,516.5262734122805,455.0565994550923,City_5 -> City_13 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6
35,487.1502972390523,455.0565994550923,City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_5 -> City_28 -> City_27 -> City_18 -> City_26
40,508.2549738886763,455.0565994550923,City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_5 -> City_13 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26
45,491.931332782285,455.0565994550923,City_5 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
50,487.1502972390522,455.0565994550923,City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_5 -> City_28
55,508.66065048583243,455.0565994550923,City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26
60,506.637372748767,455.0565994550923,City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26
65,516.517083935268,455.0565994550923,City_26 -> City_18 -> City_27 -> City_28 -> City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1
70,508.815801014802,455.0565994550923,City_12 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_5 -> City_13 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26 -> City_22 -> City_17 -> City_6 -> City_4 -> City_23 -> City_9 -> City_24 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19
75,511.8977732172873,455.0565994550923,City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_7 -> City_20 -> City_2 -> City_5 -> City_13 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26 -> City_6 -> City_22 -> City_17 -> City_4 -> City_23 -> City_9 -> City_24 -> City_12
80,499.57557857595555,455.0565994550923,City_17 -> City_6 -> City_4 -> City_22 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_23 -> City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_26 -> City_18 -> City_27 -> City_28 -> City_1
85,506.52309786156866,455.0565994550923,City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_5 -> City_13
90,507.36146325165373,455.0565994550923,City_9 -> City_24 -> City_12 -> City_10 -> City_25 -> City_16 -> City_11 -> City_15 -> City_19 -> City_8 -> City_3 -> City_29 -> City_30 -> City_21 -> City_14 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_26 -> City_18 -> City_27 -> City_28
95,485.1270195019868,455.0565994550923,City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_5 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7
100,493.9546105193504,455.0565994550923,City_5 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
105,498.1881136254471,455.0565994550923,City_5 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1
110,500.6587357091846,455.0565994550923,City_18 -> City_26 -> City_27 -> City_5 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_28
115,501.5931811392582,455.0565994550923,City_5 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_17 -> City_6 -> City_22 -> City_1
120,513.4490953825111,455.0565994550923,City_23 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_10 -> City_12 -> City_24 -> City_9 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_5 -> City_13
125,485.12701950198675,455.0565994550923,City_27 -> City_18 -> City_26 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_13 -> City_5 -> City_28
130,508.66065048583243,455.0565994550923,City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_12 -> City_24 -> City_9 -> City_14 -> City_21 -> City_30 -> City_29 -> City_3 -> City_8 -> City_19 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26
135,517.6127707073908,455.0565994550923,City_28 -> City_1 -> City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_16 -> City_11 -> City_15 -> City_25 -> City_10 -> City_19 -> City_8 -> City_3 -> City_29 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_12 -> City_23 -> City_4 -> City_22 -> City_17 -> City_6 -> City_26 -> City_18 -> City_27
140,483.77785377706005,455.0565994550923,City_13 -> City_5 -> City_2 -> City_20 -> City_7 -> City_15 -> City_11 -> City_16 -> City_25 -> City_10 -> City_19 -> City_8 -> City_3 -> City_29 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_12 -> City_23 -> City_4 -> City_22 -> City_6 -> City_17 -> City_1 -> City_28 -> City_27 -> City_18 -> City_26
