num_cities,n_ants,alpha,beta,evaporation_rate,q,max_iterations,best_distance
5,17,1.7117672962692079,3.9131517681321424,0.5530271415744613,129,157,227.34551868492375
10,17,1.5934368706031892,3.2428640247635516,0.5109474182387128,144,65,290.3067737918128
15,31,1.2143741965445232,2.009159681854616,0.306472427234565,139,175,320.5256656805111
20,44,2.300357582780345,3.386515508707829,0.7717854752786689,141,123,386.42968948346993
25,44,1.9480029772242098,4.707300933027325,0.3136707751933752,59,80,410.59716594546643
30,18,1.5001960887161783,2.2046292738889415,0.13210460424312004,73,117,455.05659945509217
35,30,2.9621295684661506,4.726720168703447,0.44938173274832716,49,184,466.8890745647266
40,19,1.9549236236154306,2.456794397568083,0.26695193526075034,119,120,496.39509962321563
45,31,2.323407630056767,3.108414299082243,0.3607111707152726,67,63,533.5685797932791
50,32,2.568883302118575,3.1410308648239518,0.3505762270048254,32,195,566.7510173441118
