num_cities,n_ants,alpha,beta,evaporation_rate,q,max_iterations,best_distance
5,10,1.0,3.0,0.3,50,100,227.34551868492372
10,10,1.0,3.0,0.3,50,100,290.3067737918128
15,10,1.0,3.0,0.3,50,100,320.5256656805112
20,30,1.0,3.0,0.3,100,100,386.42968948347
25,30,1.0,5.0,0.3,100,100,407.30756727527273
30,10,2.0,3.0,0.5,100,100,451.7670007848985
35,20,1.0,3.0,0.7,100,150,462.6593652307618
40,41,2.8349045039631955,3.3763022391198,0.2719613644577698,105,197,495.1529811904294
45,34,1.393493415469364,2.6108204307373413,0.2863983429737075,148,73,528.8071612773947
50,30,1.0,4.0,0.3,50,100,561.3364758658307
