seed,n_cities,best_distance,time_sec
1,5,227.34551868492375,0.007565736770629883
2,5,227.34551868492375,0.006493806838989258
3,5,227.34551868492375,0.0074694156646728516
4,5,227.34551868492375,0.011261701583862305
5,5,227.34551868492375,0.010302066802978516
6,5,227.34551868492375,0.007419586181640625
7,5,227.34551868492375,0.006582498550415039
8,5,227.34551868492375,0.006387472152709961
9,5,227.34551868492375,0.006066799163818359
10,5,227.34551868492375,0.005984783172607422
11,5,227.34551868492375,0.006569862365722656
12,5,227.34551868492375,0.006477832794189453
13,5,227.34551868492375,0.007162332534790039
14,5,227.34551868492375,0.006699562072753906
15,5,227.34551868492375,0.006732940673828125
16,5,227.34551868492375,0.006140470504760742
17,5,227.34551868492375,0.006131172180175781
18,5,227.34551868492375,0.006304025650024414
19,5,227.34551868492375,0.006224155426025391
20,5,227.34551868492375,0.005902528762817383
1,10,290.3067737918128,0.08672690391540527
2,10,290.3067737918128,0.07845234870910645
3,10,290.3067737918128,0.08341431617736816
4,10,290.3067737918128,0.08774399757385254
5,10,290.3067737918128,0.08193206787109375
6,10,290.30677379181276,0.12867236137390137
7,10,290.30677379181276,0.09154605865478516
8,10,290.3067737918128,0.08328390121459961
9,10,290.30677379181276,0.07010364532470703
10,10,290.3067737918128,0.07239460945129395
11,10,290.30677379181276,0.07196664810180664
12,10,290.30677379181276,0.11714458465576172
13,10,290.3067737918128,0.08940720558166504
14,10,290.3067737918128,0.09047079086303711
15,10,290.3067737918128,0.07181668281555176
16,10,290.3067737918128,0.07884359359741211
17,10,290.3067737918128,0.07710003852844238
18,10,290.3067737918128,0.07545304298400879
19,10,290.3067737918128,0.07846498489379883
20,10,290.30677379181276,0.14426660537719727
1,15,320.52566568051117,0.3185689449310303
2,15,320.5256656805113,0.2639908790588379
3,15,393.26644394820204,0.20790648460388184
4,15,320.5256656805113,0.21967458724975586
5,15,320.5256656805113,0.2752869129180908
6,15,320.5256656805112,0.2279036045074463
7,15,320.5256656805112,0.2697591781616211
8,15,320.5256656805113,0.30115747451782227
9,15,320.52566568051117,0.22305512428283691
10,15,320.52566568051117,0.18620538711547852
11,15,320.52566568051117,0.2555696964263916
12,15,320.52566568051117,0.21442151069641113
13,15,320.5256656805112,0.21541666984558105
14,15,320.52566568051117,0.21596050262451172
15,15,320.52566568051117,0.1707756519317627
16,15,320.5256656805112,0.192291259765625
17,15,320.52566568051117,0.20006775856018066
18,15,320.52566568051117,0.3332638740539551
19,15,320.5256656805113,0.22194266319274902
20,15,320.52566568051117,0.16355085372924805
1,20,386.42968948347004,0.2980489730834961
