iteration,current_distance,best_distance,route
0,574.0244312783889,574.0244312783889,City_10 -> City_15 -> City_12 -> City_14 -> City_2 -> City_1 -> City_13 -> City_6 -> City_4 -> City_9 -> City_11 -> City_5 -> City_7 -> City_8 -> City_3
5,404.4967146992326,404.4967146992326,City_9 -> City_14 -> City_13 -> City_5 -> City_1 -> City_6 -> City_4 -> City_2 -> City_7 -> City_15 -> City_11 -> City_8 -> City_3 -> City_10 -> City_12
10,360.2252594318201,360.2252594318201,City_9 -> City_14 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_11 -> City_15 -> City_10 -> City_8 -> City_3 -> City_12
15,360.43832955572617,360.2252594318201,City_9 -> City_14 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
20,360.43832955572617,360.2252594318201,City_9 -> City_14 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
25,354.8353175029033,354.8353175029033,City_14 -> City_9 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
30,354.8353175029033,354.8353175029033,City_14 -> City_9 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
35,354.8353175029033,354.8353175029033,City_14 -> City_9 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
40,354.8353175029033,354.8353175029033,City_14 -> City_9 -> City_13 -> City_1 -> City_6 -> City_4 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
45,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
50,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
55,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
60,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
65,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
70,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
75,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
80,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
85,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
90,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
95,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
100,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
105,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
110,353.6373604348056,353.6373604348056,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_15 -> City_11 -> City_10 -> City_8 -> City_3 -> City_12
115,353.42429031089944,353.42429031089944,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_11 -> City_15 -> City_10 -> City_8 -> City_3 -> City_12
120,353.42429031089944,353.42429031089944,City_14 -> City_9 -> City_13 -> City_4 -> City_6 -> City_1 -> City_5 -> City_2 -> City_7 -> City_11 -> City_15 -> City_10 -> City_8 -> City_3 -> City_12
