n_cities,best_distance,time_sec,iterations_effective
5,227.34551868492375,0.07776427268981934,2300
10,290.30677379181276,0.07335686683654785,2300
15,320.5256656805111,0.10851478576660156,2300
20,386.62667701711246,0.14681744575500488,2300
25,463.8446320201552,0.16743016242980957,2300
30,523.7822066314176,0.16043305397033691,2300
35,558.8504493870324,0.20596098899841309,2300
40,582.590569039033,0.267087459564209,2300
45,687.273992138908,0.26969432830810547,2300
50,755.0741526959149,0.29976820945739746,2300
