num_cities,tabu_size,max_iterations,neighborhood_size,stall_limit,best_distance,execution_time
5,5,300,100,50,227.34551868492375,0.007729768753051758
10,5,300,100,80,290.30677379181276,0.20872950553894043
15,5,300,100,50,320.5256656805112,0.26569676399230957
20,5,300,100,50,386.42968948347,0.36207056045532227
25,20,300,,50,478.34615369002313,1.5117723941802979
30,10,300,200,50,453.90230212014984,1.873053789138794
35,10,300,,50,534.0039827609232,5.402860164642334
40,20,300,200,50,556.4787177197825,3.621490955352783
45,20,300,200,50,635.9392601063124,3.9521989822387695
50,11,477,200,75,632.9538816800983,6.191869020462036
