iteration,current_distance,best_distance,route
10,1562.3111612844432,1562.3111612844432,City_26 -> City_18 -> City_8 -> City_12 -> City_34 -> City_43 -> City_19 -> City_10 -> City_48 -> City_7 -> City_32 -> City_47 -> City_13 -> City_38 -> City_40 -> City_39 -> City_11 -> City_25 -> City_36 -> City_1 -> City_44 -> City_27 -> City_5 -> City_49 -> City_42 -> City_31 -> City_29 -> City_21 -> City_23 -> City_46 -> City_22 -> City_37 -> City_33 -> City_24 -> City_14 -> City_50 -> City_30 -> City_3 -> City_28 -> City_4 -> City_6 -> City_35 -> City_17 -> City_9 -> City_15 -> City_16 -> City_45 -> City_2 -> City_20 -> City_41
20,1174.7366490375464,1174.7366490375464,City_26 -> City_18 -> City_43 -> City_12 -> City_31 -> City_8 -> City_19 -> City_10 -> City_25 -> City_7 -> City_32 -> City_47 -> City_13 -> City_1 -> City_28 -> City_48 -> City_11 -> City_39 -> City_36 -> City_20 -> City_44 -> City_38 -> City_5 -> City_49 -> City_42 -> City_40 -> City_29 -> City_3 -> City_23 -> City_46 -> City_22 -> City_37 -> City_33 -> City_24 -> City_14 -> City_50 -> City_30 -> City_21 -> City_34 -> City_4 -> City_6 -> City_35 -> City_17 -> City_9 -> City_15 -> City_16 -> City_45 -> City_2 -> City_27 -> City_41
30,1061.0775067200311,1061.0775067200311,City_26 -> City_18 -> City_43 -> City_12 -> City_31 -> City_8 -> City_19 -> City_15 -> City_16 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_11 -> City_39 -> City_36 -> City_20 -> City_44 -> City_38 -> City_5 -> City_10 -> City_40 -> City_42 -> City_3 -> City_29 -> City_14 -> City_46 -> City_22 -> City_37 -> City_33 -> City_24 -> City_9 -> City_50 -> City_30 -> City_21 -> City_34 -> City_4 -> City_6 -> City_35 -> City_17 -> City_23 -> City_49 -> City_48 -> City_47 -> City_2 -> City_27 -> City_41
40,964.44482579427,964.44482579427,City_26 -> City_41 -> City_12 -> City_43 -> City_31 -> City_19 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_11 -> City_16 -> City_36 -> City_48 -> City_44 -> City_38 -> City_5 -> City_10 -> City_40 -> City_8 -> City_3 -> City_29 -> City_50 -> City_34 -> City_22 -> City_37 -> City_33 -> City_24 -> City_9 -> City_14 -> City_30 -> City_21 -> City_46 -> City_4 -> City_17 -> City_6 -> City_35 -> City_23 -> City_49 -> City_20 -> City_47 -> City_2 -> City_27 -> City_18
50,910.9680198735314,910.9680198735314,City_27 -> City_2 -> City_12 -> City_43 -> City_31 -> City_40 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_16 -> City_11 -> City_36 -> City_47 -> City_44 -> City_38 -> City_5 -> City_10 -> City_19 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_4 -> City_37 -> City_33 -> City_24 -> City_9 -> City_14 -> City_21 -> City_46 -> City_34 -> City_22 -> City_17 -> City_6 -> City_35 -> City_23 -> City_49 -> City_20 -> City_48 -> City_41 -> City_26 -> City_18
60,861.0032248242436,851.2655440796293,City_27 -> City_49 -> City_31 -> City_43 -> City_19 -> City_40 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_16 -> City_11 -> City_36 -> City_47 -> City_44 -> City_38 -> City_2 -> City_10 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_33 -> City_23 -> City_34 -> City_46 -> City_37 -> City_22 -> City_17 -> City_6 -> City_35 -> City_4 -> City_5 -> City_20 -> City_48 -> City_41 -> City_26 -> City_18
70,820.2469726659734,818.9470304296619,City_27 -> City_2 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_11 -> City_16 -> City_36 -> City_20 -> City_44 -> City_47 -> City_49 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_33 -> City_23 -> City_46 -> City_34 -> City_37 -> City_22 -> City_17 -> City_6 -> City_35 -> City_4 -> City_5 -> City_38 -> City_48 -> City_41 -> City_26 -> City_18
80,789.6899199374309,789.6899199374309,City_27 -> City_2 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_11 -> City_16 -> City_36 -> City_20 -> City_47 -> City_48 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_9 -> City_24 -> City_23 -> City_46 -> City_34 -> City_37 -> City_6 -> City_35 -> City_17 -> City_22 -> City_4 -> City_5 -> City_38 -> City_44 -> City_41 -> City_26 -> City_18
90,786.0590666714521,782.9674963101306,City_41 -> City_2 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_28 -> City_1 -> City_13 -> City_25 -> City_16 -> City_11 -> City_36 -> City_47 -> City_48 -> City_20 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_24 -> City_9 -> City_33 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_6 -> City_35 -> City_22 -> City_17 -> City_5 -> City_44 -> City_38 -> City_27 -> City_18 -> City_26
100,744.407613581338,742.5594487572382,City_41 -> City_2 -> City_10 -> City_31 -> City_19 -> City_40 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_44 -> City_28 -> City_5 -> City_25 -> City_16 -> City_11 -> City_36 -> City_48 -> City_47 -> City_20 -> City_49 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_24 -> City_9 -> City_33 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_22 -> City_6 -> City_17 -> City_35 -> City_1 -> City_13 -> City_38 -> City_27 -> City_18 -> City_26
110,719.5495400068579,709.4816304141852,City_44 -> City_5 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_45 -> City_41 -> City_38 -> City_20 -> City_25 -> City_11 -> City_16 -> City_36 -> City_48 -> City_47 -> City_2 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_33 -> City_23 -> City_46 -> City_34 -> City_4 -> City_37 -> City_22 -> City_6 -> City_35 -> City_17 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
120,716.4637451892303,709.4816304141852,City_38 -> City_5 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_7 -> City_32 -> City_48 -> City_2 -> City_44 -> City_41 -> City_36 -> City_11 -> City_16 -> City_25 -> City_45 -> City_47 -> City_20 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_24 -> City_9 -> City_33 -> City_23 -> City_46 -> City_34 -> City_4 -> City_37 -> City_22 -> City_17 -> City_6 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
130,701.6258870872757,701.6258870872757,City_38 -> City_5 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_36 -> City_7 -> City_47 -> City_2 -> City_44 -> City_41 -> City_45 -> City_11 -> City_16 -> City_25 -> City_32 -> City_48 -> City_20 -> City_49 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_24 -> City_9 -> City_33 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_22 -> City_17 -> City_6 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
140,702.6867381523576,699.777722263176,City_38 -> City_5 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_36 -> City_7 -> City_32 -> City_2 -> City_44 -> City_41 -> City_45 -> City_48 -> City_16 -> City_11 -> City_25 -> City_20 -> City_47 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_9 -> City_24 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_22 -> City_6 -> City_17 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
150,713.961780775796,695.9947194835797,City_38 -> City_5 -> City_10 -> City_31 -> City_40 -> City_19 -> City_42 -> City_15 -> City_39 -> City_36 -> City_32 -> City_48 -> City_44 -> City_2 -> City_41 -> City_45 -> City_7 -> City_11 -> City_16 -> City_25 -> City_20 -> City_47 -> City_49 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_9 -> City_24 -> City_23 -> City_46 -> City_34 -> City_4 -> City_22 -> City_37 -> City_17 -> City_6 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
160,721.1098631573346,695.9947194835797,City_38 -> City_5 -> City_10 -> City_31 -> City_40 -> City_42 -> City_19 -> City_15 -> City_11 -> City_39 -> City_32 -> City_48 -> City_47 -> City_2 -> City_41 -> City_45 -> City_7 -> City_36 -> City_16 -> City_25 -> City_20 -> City_44 -> City_49 -> City_43 -> City_12 -> City_3 -> City_8 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_24 -> City_9 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_22 -> City_17 -> City_6 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
170,714.0092549391644,695.9947194835797,City_38 -> City_5 -> City_10 -> City_31 -> City_42 -> City_19 -> City_40 -> City_11 -> City_15 -> City_39 -> City_7 -> City_48 -> City_47 -> City_44 -> City_41 -> City_45 -> City_32 -> City_36 -> City_16 -> City_25 -> City_20 -> City_2 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_24 -> City_9 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_22 -> City_6 -> City_35 -> City_17 -> City_1 -> City_13 -> City_28 -> City_27 -> City_26 -> City_18
180,706.8219839448728,695.9947194835797,City_38 -> City_5 -> City_10 -> City_31 -> City_42 -> City_19 -> City_40 -> City_25 -> City_15 -> City_39 -> City_7 -> City_47 -> City_2 -> City_44 -> City_41 -> City_45 -> City_32 -> City_36 -> City_11 -> City_16 -> City_20 -> City_48 -> City_49 -> City_12 -> City_43 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_24 -> City_9 -> City_23 -> City_46 -> City_34 -> City_4 -> City_37 -> City_22 -> City_6 -> City_17 -> City_35 -> City_1 -> City_13 -> City_28 -> City_26 -> City_18 -> City_27
190,725.5271928025437,695.9947194835797,City_38 -> City_5 -> City_49 -> City_10 -> City_19 -> City_42 -> City_40 -> City_25 -> City_15 -> City_39 -> City_36 -> City_47 -> City_44 -> City_2 -> City_41 -> City_45 -> City_32 -> City_7 -> City_11 -> City_16 -> City_48 -> City_20 -> City_31 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_9 -> City_33 -> City_24 -> City_23 -> City_46 -> City_34 -> City_4 -> City_22 -> City_37 -> City_6 -> City_17 -> City_35 -> City_1 -> City_13 -> City_28 -> City_26 -> City_18 -> City_27
200,722.8217574087661,695.9947194835797,City_38 -> City_5 -> City_49 -> City_10 -> City_40 -> City_42 -> City_19 -> City_25 -> City_15 -> City_39 -> City_48 -> City_47 -> City_44 -> City_2 -> City_41 -> City_45 -> City_32 -> City_7 -> City_11 -> City_16 -> City_36 -> City_20 -> City_31 -> City_43 -> City_12 -> City_8 -> City_3 -> City_29 -> City_50 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_33 -> City_23 -> City_46 -> City_34 -> City_4 -> City_22 -> City_37 -> City_17 -> City_6 -> City_35 -> City_1 -> City_13 -> City_28 -> City_18 -> City_26 -> City_27
210,646.3812129127977,646.3812129127977,City_38 -> City_5 -> City_49 -> City_10 -> City_19 -> City_42 -> City_40 -> City_15 -> City_39 -> City_20 -> City_48 -> City_47 -> City_44 -> City_2 -> City_41 -> City_45 -> City_32 -> City_7 -> City_36 -> City_11 -> City_16 -> City_25 -> City_31 -> City_43 -> City_12 -> City_8 -> City_3 -> City_29 -> City_50 -> City_30 -> City_21 -> City_14 -> City_9 -> City_24 -> City_33 -> City_23 -> City_46 -> City_34 -> City_37 -> City_4 -> City_22 -> City_17 -> City_6 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_18 -> City_26
220,654.889512043857,638.8867005578522,City_38 -> City_5 -> City_49 -> City_31 -> City_42 -> City_19 -> City_40 -> City_16 -> City_11 -> City_20 -> City_48 -> City_47 -> City_2 -> City_44 -> City_41 -> City_45 -> City_32 -> City_7 -> City_36 -> City_39 -> City_15 -> City_25 -> City_10 -> City_43 -> City_12 -> City_8 -> City_3 -> City_29 -> City_50 -> City_30 -> City_21 -> City_14 -> City_33 -> City_9 -> City_24 -> City_23 -> City_46 -> City_34 -> City_37 -> City_22 -> City_4 -> City_6 -> City_17 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_26 -> City_18
230,647.3935167446583,638.8867005578522,City_38 -> City_5 -> City_49 -> City_10 -> City_40 -> City_19 -> City_42 -> City_15 -> City_16 -> City_20 -> City_48 -> City_47 -> City_44 -> City_2 -> City_41 -> City_45 -> City_32 -> City_36 -> City_7 -> City_39 -> City_11 -> City_25 -> City_31 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_24 -> City_9 -> City_33 -> City_23 -> City_46 -> City_34 -> City_4 -> City_37 -> City_22 -> City_6 -> City_17 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_26 -> City_18
240,655.0388276007626,638.8867005578522,City_38 -> City_5 -> City_49 -> City_10 -> City_19 -> City_42 -> City_40 -> City_25 -> City_16 -> City_20 -> City_48 -> City_47 -> City_2 -> City_44 -> City_41 -> City_45 -> City_32 -> City_7 -> City_36 -> City_39 -> City_11 -> City_15 -> City_31 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_24 -> City_9 -> City_23 -> City_34 -> City_46 -> City_37 -> City_4 -> City_6 -> City_22 -> City_17 -> City_35 -> City_1 -> City_13 -> City_28 -> City_27 -> City_26 -> City_18
250,666.6879297039138,638.8867005578522,City_38 -> City_5 -> City_49 -> City_31 -> City_40 -> City_19 -> City_42 -> City_25 -> City_16 -> City_20 -> City_48 -> City_47 -> City_2 -> City_44 -> City_41 -> City_45 -> City_32 -> City_7 -> City_36 -> City_39 -> City_15 -> City_11 -> City_10 -> City_43 -> City_12 -> City_8 -> City_3 -> City_50 -> City_29 -> City_30 -> City_21 -> City_14 -> City_33 -> City_9 -> City_24 -> City_23 -> City_34 -> City_46 -> City_37 -> City_22 -> City_6 -> City_35 -> City_4 -> City_17 -> City_1 -> City_13 -> City_28 -> City_26 -> City_18 -> City_27
